amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	cpf	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-replacement-order	original-order-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	signature-confirmation-recommended
701-6555624-9941869	5440372	2025-07-22T22:14:49+00:00	2025-07-23T21:07:33+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel	Standard	Special Pack of 5 CEPACOL MOUTHWASH 24 oz	UB-40019-5PK	B003LZPVCS	5	Shipped	1	CAD	57.98		35.56						Calgary	AB	T3K 4G7	CA			false				false		false		false
702-8505463-8146658	5440347	2025-07-22T22:05:44+00:00	2025-07-24T09:14:45+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel	Standard	Mucinex Instasoothe Kickstart Sore Throat Relief, Throat Numbing Spray Starts to Work On Contact, Sore Throat Pain Medicine, Relieves Oral Pain, 3.8 FL Oz	UB-40023	B0CD2SFQ1J	1	Shipped	1	CAD	21.29		15.85						North York	Ontario	M2N 7H7	CA			false				false		false		false
702-0079830-8353871	5439593	2025-07-22T12:31:59+00:00	2025-07-22T21:06:43+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel	Standard	NEURIVA Memory 3D Brain Supplement - Decaffeinated Nootropic Capsules for Memory, Focus, & Cognitive Function - Short Term, Long Term, & Working Memory Support - 50ct	RB-19663	B0DWGHDFN4	1	Shipped	1	CAD	100.17		15.51						St Lazare	Quebec	J7T0B2	CA			false				false		false		false
S01-9044310-4152946	RPLNC3cTRd	2025-07-22T14:43:18+00:00	2025-07-28T06:44:52+00:00	Shipping	Amazon	Non-Amazon		Standard	-	RB-19605-2PK-FBA	B07QVB8W12		Unshipped	1										Corona	CA	92883	US			false				false		false		false
114-1200994-6264233	114-1200994-6264233	2025-07-23T06:59:49+00:00	2025-07-28T09:30:12+00:00	Shipped	Amazon	Amazon.com		Standard	Clearasil Stubborn Acne Control 5in1 Pimple Patch, 18 Count (Pack of 4)	PB-50001-4PK-FBA	B072C5782F		Shipped	1	USD	39.0	1.84	2.74					2.74	KAMUELA	HI	96743-8389	US	US Core Free Shipping Promotion A3JU1FCINF5SD0		false				false		false		false
112-6073356-1988215	5440989	2025-07-23T06:59:07+00:00	2025-07-26T15:47:17+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Lysol Toilet Bowl Cleaner, 24 Ounces (Lemon)	HYL-8509-4PK-8532	B0CJZ9XPG5	4	Shipped	1	USD	29.0	1.99							HENDRICKS	MN	56136-9594	US			false				false		false		false
113-7280520-4046653	5440988	2025-07-23T06:53:04+00:00	2025-07-24T04:54:16+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Airborne 1000mg Vitamin C + Zinc Immune Support Supplement Chewable Tablets, Very Berry Flavor with Powerful Antioxidants Vitamins A C & E, 116 Chewable Tablets (2 Pack)	RB-19620-2PK	B0787D4ZG3	2	Shipped	1	USD	38.49	3.19							MESA	AZ	85206-6724	US			false				false		false		false
111-4022231-2787446	111-4022231-2787446	2025-07-23T06:51:42+00:00	2025-07-27T17:41:10+00:00	Pending	Amazon	Amazon.com		Standard	Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary	HYF-8107-FBA-NEW	B06XX33G82		Unshipped	1	USD	24.0								NEWMARKET	NH	03857-2354	US	FBA Subscribe & Save Discount		false				false		false		false
111-6515262-9102653	111-6515262-9102653	2025-07-23T06:50:55+00:00	2025-07-23T06:51:03+00:00	Pending	Amazon	Amazon.com		Standard	Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary	HYF-8107-FBA-NEW	B06XX33G82		Unshipped	1	USD	24.0								ALBUQUERQUE	NM	87105-1018	US	FBA Subscribe & Save Discount		false				false		false		false
114-9403650-6291411		2025-07-23T06:50:13+00:00	2025-07-23T06:55:30+00:00	Cancelled	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Move Free Advanced Glucosamine Chondroitin MSM Joint Support Supplement, Supports Mobility Comfort Strength Flexibility & Bone - 120 Count (Pack of 3)	RBB-19633-3PK	B07Z98X1QZ	3		0										LA PUENTE	CA	91746-1126	US			false				false		false		false
111-2418630-5876260	5440982	2025-07-23T06:49:17+00:00	2025-07-24T03:17:47+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Scalpicin Scalp Itch Relief, 1.5 fl Oz. Maximum Strength (Pack of 6)	PBP-50011-6PK	B00IXVJJX2	6	Shipped	1	USD	42.99	4.51							GARDENA	CA	90247-3011	US			false				false		false		false
111-4906332-8975403	5440981	2025-07-23T06:48:44+00:00	2025-07-24T05:47:46+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Lysol Disinfectant Spray To Go, Crisp Linen, 1.5 Ounce (Pack of 3)	HYL-8518-3PK	B00T1S16NC	3	Shipped	1	USD	12.99	1.01							PALMETTO	GA	30268-1893	US			false				false		false		false
112-5143433-9690640	5440980	2025-07-23T06:39:12+00:00	2025-07-24T03:18:49+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Cepacol Maximum Strength Throat Drop Lozenges, Cherry, 16 Count (Pack of 2)	UB-40026-2PK	B01FWS2U0W	1	Shipped	1	USD	10.79	0.98							PHOENIX	AZ	85053-6625	US			false				false		false		false
111-4392247-3586604	111-4392247-3586604	2025-07-23T06:37:51+00:00	2025-07-24T06:20:22+00:00	Shipped	Amazon	Amazon.com		Expedited	Digestive Advantage IBS Probiotics for Digestive Health & Intensive Bowel Support, for Women & Men with Digestive Enzymes, Support for Occasional Bloa	RB-19606-2PK-FBA	B00MSYILAC		Shipped	1	USD	37.99		0.03					0.03	NEWARK	DE	19713-3447	US			false				false		false		false
114-3681634-8260248	114-3681634-8260248	2025-07-23T06:37:19+00:00	2025-07-24T00:47:14+00:00	Shipped	Amazon	Amazon.com		Expedited	Lysol To Go Bundle - 1.5 Ounce Crisp Linen Disinfectant Spray and Lemon Lime Disinfecting Wipes Flat Pack (15 Count)	HYL-8511-8518-FBA	B0BV3C6BVY		Shipped	1	USD	9.5	0.78							GRAND PRAIRIE	TX	75054-5547	US			false				false		false		false
113-8376608-4708242	113-8376608-4708242	2025-07-23T06:30:17+00:00	2025-07-27T18:31:01+00:00	Shipped	Amazon	Amazon.com		Standard	Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary	HYF-8107-FBA-NEW	B06XX33G82		Shipped	1	USD	24.0	1.81					1.2		MAMARONECK	NY	10543-4121	US	FBA Subscribe & Save Discount		false				false		false		false
112-8973353-1296220	5440979	2025-07-23T06:28:49+00:00	2025-07-23T21:04:50+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Lysol To Go Disinfectant Spray, Crisp Linen, Travel Size - 1.5 oz (Pack of 4)	HYL-8518-4PK	B00129JTXM	4	Shipped	1	USD	14.9	1.04							MIAMI	FL	33177-6605	US			false				false		false		false
114-1927956-8401869	114-1927956-8401869	2025-07-23T06:27:00+00:00	2025-07-27T17:25:37+00:00	Pending	Amazon	Amazon.com		Standard	Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary	HYF-8107-FBA-NEW	B06XX33G82		Unshipped	1	USD	24.0								Colonia	NJ	07067	US	FBA Subscribe & Save Discount		false				false		false		false
113-3215158-3630636	5440978	2025-07-23T06:26:52+00:00	2025-07-23T21:04:49+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel	Standard	Move Free Advanced Plus MSM with Glucosamine & Chondroitin , 120 Count (Pack of 2)	RBB-19633-2PK	B00S5CL2B6	2	Shipped	1	USD	43.56	4.08							SAN JOSE	CA	95132-2249	US			false				false		false		false
